model,dataset,metric,method,correction,prr_score
Llama 3.1 8B,wmt14_ruen,MetricX XXL,LSRL,DEG1,0.37608746545182586
Llama 3.1 8B,wmt14_fren,MetricX XXL,LSRL,DEG1,0.2945810464630152
Llama 3.1 8B,wmt19_deen,MetricX XXL,LSRL,DEG1,0.3477825602321154
Llama 3.1 8B,wmt19_fien,MetricX XXL,LSRL,DEG1,0.3330551440913323
Llama 3.1 8B,wmt19_lten,MetricX XXL,LSRL,DEG1,0.3982703640415839
Llama 3.1 8B,wmt19_ruen,MetricX XXL,LSRL,DEG1,0.3260555121087192
Llama 3.1 8B,wmt14_csen,MetricX XXL,LSRL,DEG2,0.40455634915384575
Llama 3.1 8B,wmt14_deen,MetricX XXL,LSRL,DEG2,0.3595804335895208
Llama 3.1 8B,wmt14_ruen,MetricX XXL,LSRL,DEG2,0.2787198884262455
Llama 3.1 8B,wmt14_fren,MetricX XXL,LSRL,DEG2,0.2718587966588754
Llama 3.1 8B,wmt19_deen,MetricX XXL,LSRL,DEG2,0.35052134490704034
Llama 3.1 8B,wmt19_fien,MetricX XXL,LSRL,DEG2,0.35036015345194427
Llama 3.1 8B,wmt19_lten,MetricX XXL,LSRL,DEG2,0.41974749255133564
Llama 3.1 8B,wmt19_ruen,MetricX XXL,LSRL,DEG2,0.28361015386930555
Llama 3.1 8B,wmt14_csen,MetricX XXL,LSRL,DEG3,0.4018677019540463
Llama 3.1 8B,wmt14_deen,MetricX XXL,LSRL,DEG3,0.33749666085650365
Llama 3.1 8B,wmt14_ruen,MetricX XXL,LSRL,DEG3,0.37795039057500585
Llama 3.1 8B,wmt14_fren,MetricX XXL,LSRL,DEG3,0.30861725342095103
Llama 3.1 8B,wmt19_deen,MetricX XXL,LSRL,DEG3,0.35190804401851195
Llama 3.1 8B,wmt19_fien,MetricX XXL,LSRL,DEG3,0.3408464157896055
Llama 3.1 8B,wmt19_lten,MetricX XXL,LSRL,DEG3,0.42351029762540077
Llama 3.1 8B,wmt19_ruen,MetricX XXL,LSRL,DEG3,0.32415784996336483
Gemma 2 9B,wmt14_csen,MetricX XXL,MSP,RAW,0.18910382031898135
Gemma 2 9B,wmt14_deen,MetricX XXL,MSP,RAW,0.21937044258876592
Gemma 2 9B,wmt14_ruen,MetricX XXL,MSP,RAW,0.2879719813811583
Gemma 2 9B,wmt14_fren,MetricX XXL,MSP,RAW,0.13296958626545372
Gemma 2 9B,wmt19_deen,MetricX XXL,MSP,RAW,0.27889275202732866
Gemma 2 9B,wmt19_fien,MetricX XXL,MSP,RAW,0.057621920916927055
Gemma 2 9B,wmt19_lten,MetricX XXL,MSP,RAW,0.24074268132569707
Gemma 2 9B,wmt19_ruen,MetricX XXL,MSP,RAW,0.26543926884820856
Gemma 2 9B,wmt14_csen,MetricX XXL,MSP,DEG1,0.3923846472593016
Gemma 2 9B,wmt14_deen,MetricX XXL,MSP,DEG1,0.4461927329826481
Gemma 2 9B,wmt14_ruen,MetricX XXL,MSP,DEG1,0.41203265998924177
Gemma 2 9B,wmt14_fren,MetricX XXL,MSP,DEG1,0.2895651149760845
Gemma 2 9B,wmt19_deen,MetricX XXL,MSP,DEG1,0.44603712122977707
Gemma 2 9B,wmt19_fien,MetricX XXL,MSP,DEG1,0.3520860127194643
Gemma 2 9B,wmt19_lten,MetricX XXL,MSP,DEG1,0.348526574657116
Gemma 2 9B,wmt19_ruen,MetricX XXL,MSP,DEG1,0.3864774138361482
Gemma 2 9B,wmt14_csen,MetricX XXL,MSP,DEG2,0.40097888538361504
Gemma 2 9B,wmt14_deen,MetricX XXL,MSP,DEG2,0.44943212566846996
Gemma 2 9B,wmt14_ruen,MetricX XXL,MSP,DEG2,0.4180149212715449
Gemma 2 9B,wmt14_fren,MetricX XXL,MSP,DEG2,0.3036291326910799
Gemma 2 9B,wmt19_deen,MetricX XXL,MSP,DEG2,0.44396064876929137
Gemma 2 9B,wmt19_fien,MetricX XXL,MSP,DEG2,0.3513706943756815
Gemma 2 9B,wmt19_lten,MetricX XXL,MSP,DEG2,0.3428505681655398
Gemma 2 9B,wmt19_ruen,MetricX XXL,MSP,DEG2,0.3911908282597812
Gemma 2 9B,wmt14_csen,MetricX XXL,MSP,DEG3,0.40111741216240243
Gemma 2 9B,wmt14_deen,MetricX XXL,MSP,DEG3,0.45198248332754315
Gemma 2 9B,wmt14_ruen,MetricX XXL,MSP,DEG3,0.42292295226521653
Gemma 2 9B,wmt14_fren,MetricX XXL,MSP,DEG3,0.3071233342662537
Gemma 2 9B,wmt19_deen,MetricX XXL,MSP,DEG3,0.44474878786278293
