model,dataset,metric,method,prr_score
Gemma 2 9B,wmt14_deen,MetricX XXL,PPL,0.4711480119748819
Gemma 2 9B,wmt14_deen,MetricX XXL,PPL-LINE,0.4785788681526844
Gemma 2 9B,wmt14_ruen,MetricX XXL,PPL,0.40525993581904507
Gemma 2 9B,wmt14_ruen,MetricX XXL,PPL-LINE,0.4274400894545415
Gemma 2 9B,wmt14_fren,MetricX XXL,PPL,0.32557965810185086
Gemma 2 9B,wmt14_fren,MetricX XXL,PPL-LINE,0.3295557448846372
Gemma 2 9B,wmt19_deen,MetricX XXL,PPL,0.41855422914325036
Gemma 2 9B,wmt19_deen,MetricX XXL,PPL-LINE,0.4269930151999155
Gemma 2 9B,wmt19_fien,MetricX XXL,PPL,0.40768056204746056
Gemma 2 9B,wmt19_fien,MetricX XXL,PPL-LINE,0.40715860536573206
Gemma 2 9B,wmt19_lten,MetricX XXL,PPL,0.330852150013128
Gemma 2 9B,wmt19_lten,MetricX XXL,PPL-LINE,0.3419220043985734
Gemma 2 9B,wmt19_ruen,MetricX XXL,PPL,0.34027811675889136
Gemma 2 9B,wmt19_ruen,MetricX XXL,PPL-LINE,0.3709505082195683
Gemma 2 9B,wmt14_csen,MetricX XXL,MTE,0.4499607660775961
Gemma 2 9B,wmt14_csen,MetricX XXL,MTE-LINE,0.46338603484578
Gemma 2 9B,wmt14_deen,MetricX XXL,MTE,0.4749302851952612
Gemma 2 9B,wmt14_deen,MetricX XXL,MTE-LINE,0.4947367268969127
Gemma 2 9B,wmt14_ruen,MetricX XXL,MTE,0.41877060749996653
Gemma 2 9B,wmt14_ruen,MetricX XXL,MTE-LINE,0.4596160440536557
Gemma 2 9B,wmt14_fren,MetricX XXL,MTE,0.358881838921519
Gemma 2 9B,wmt14_fren,MetricX XXL,MTE-LINE,0.3707150082179784
Gemma 2 9B,wmt19_deen,MetricX XXL,MTE,0.44045930678700396
Gemma 2 9B,wmt19_deen,MetricX XXL,MTE-LINE,0.46694326730361563
Gemma 2 9B,wmt19_fien,MetricX XXL,MTE,0.4542775273396426
Gemma 2 9B,wmt19_fien,MetricX XXL,MTE-LINE,0.4460788738055472
Gemma 2 9B,wmt19_lten,MetricX XXL,MTE,0.3353989707193578
